run,driver,sequence,start_ticks,end_ticks,frequency,gpu_ms,gpu_completion_fence_verified
01,installed-2.84,1865,15940616794013,15940617377609,100000000,5.83596,True
01,installed-2.84,1866,15940621860941,15940622444709,100000000,5.83768,True
01,installed-2.84,1867,15940626956529,15940627541441,100000000,5.84912,True
01,installed-2.84,1868,15940632036853,15940632620341,100000000,5.83488,True
01,installed-2.84,1869,15940637118817,15940637703009,100000000,5.84192,True
01,installed-2.84,1870,15940642198277,15940642784069,100000000,5.85792,True
01,installed-2.84,1871,15940647276381,15940647861481,100000000,5.851,True
01,installed-2.84,1872,15940652336577,15940652921257,100000000,5.8468,True
01,installed-2.84,1873,15940657402225,15940657986193,100000000,5.83968,True
01,installed-2.84,1874,15940662463453,15940663046593,100000000,5.8314,True
01,installed-2.84,1875,15940667530601,15940668113353,100000000,5.82752,True
01,installed-2.84,1876,15940672590641,15940673173221,100000000,5.8258,True
01,installed-2.84,1877,15940677662849,15940678247077,100000000,5.84228,True
01,installed-2.84,1878,15940682747537,15940683333413,100000000,5.85876,True
01,installed-2.84,1879,15940687832661,15940688415893,100000000,5.83232,True
01,installed-2.84,1880,15940692909837,15940693492897,100000000,5.8306,True
01,installed-2.84,1881,15940697992957,15940698577269,100000000,5.84312,True
01,installed-2.84,1882,15940703100249,15940703683625,100000000,5.83376,True
01,installed-2.84,1883,15940708172733,15940708757057,100000000,5.84324,True
01,installed-2.84,1884,15940713270953,15940713857141,100000000,5.86188,True
01,installed-2.84,1885,15940718366677,15940718953845,100000000,5.87168,True
01,installed-2.84,1886,15940723442285,15940724025285,100000000,5.83,True
01,installed-2.84,1887,15940728524529,15940729109321,100000000,5.84792,True
01,installed-2.84,1888,15940733605597,15940734188193,100000000,5.82596,True
01,installed-2.84,1889,15940738691397,15940739274489,100000000,5.83092,True
01,installed-2.84,1890,15940743760409,15940744344069,100000000,5.8366,True
01,installed-2.84,1891,15940748852685,15940749438053,100000000,5.85368,True
01,installed-2.84,1892,15940753998925,15940754585541,100000000,5.86616,True
01,installed-2.84,1893,15940759076917,15940759661005,100000000,5.84088,True
01,installed-2.84,1894,15940764153969,15940764736721,100000000,5.82752,True
01,installed-2.84,1895,15940769234125,15940769817877,100000000,5.83752,True
01,installed-2.84,1896,15940774296297,15940774881781,100000000,5.85484,True
01,installed-2.84,1897,15940779377681,15940779961277,100000000,5.83596,True
01,installed-2.84,1898,15940784488605,15940785072245,100000000,5.8364,True
01,installed-2.84,1899,15940789572593,15940790157213,100000000,5.8462,True
01,installed-2.84,1900,15940794669741,15940795253557,100000000,5.83816,True
01,installed-2.84,1901,15940799738133,15940800323165,100000000,5.85032,True
01,installed-2.84,1902,15940804833485,15940805417741,100000000,5.84256,True
01,installed-2.84,1903,15940809907529,15940810490837,100000000,5.83308,True
01,installed-2.84,1904,15940814993649,15940815577433,100000000,5.83784,True
01,installed-2.84,1905,15940820070045,15940820653625,100000000,5.8358,True
01,installed-2.84,1906,15940825138121,15940825721193,100000000,5.83072,True
01,installed-2.84,1907,15940830202317,15940830788269,100000000,5.85952,True
01,installed-2.84,1908,15940835290677,15940835875885,100000000,5.85208,True
01,installed-2.84,1909,15940840367905,15940840953273,100000000,5.85368,True
01,installed-2.84,1910,15940845444921,15940846029069,100000000,5.84148,True
01,installed-2.84,1911,15940850517769,15940851101805,100000000,5.84036,True
01,installed-2.84,1912,15940855571077,15940856154981,100000000,5.83904,True
01,installed-2.84,1913,15940860644969,15940861228821,100000000,5.83852,True
01,installed-2.84,1914,15940865714265,15940866297185,100000000,5.8292,True
01,installed-2.84,1915,15940870791745,15940871375601,100000000,5.83856,True
01,installed-2.84,1916,15940875876053,15940876460749,100000000,5.84696,True
01,installed-2.84,1917,15940880947617,15940881532041,100000000,5.84424,True
01,installed-2.84,1918,15940886024997,15940886608689,100000000,5.83692,True
01,installed-2.84,1919,15940891108065,15940891694153,100000000,5.86088,True
01,installed-2.84,1920,15940896341265,15940896932033,100000000,5.90768,True
01,installed-2.84,1921,15940901440169,15940902024277,100000000,5.84108,True
01,installed-2.84,1922,15940906511377,15940907095369,100000000,5.83992,True
01,installed-2.84,1923,15940911590417,15940912174317,100000000,5.839,True
01,installed-2.84,1924,15940916669293,15940917253705,100000000,5.84412,True
01,installed-2.84,1925,15940921740945,15940922325197,100000000,5.84252,True
01,installed-2.84,1926,15940926801961,15940927386801,100000000,5.8484,True
01,installed-2.84,1927,15940931883421,15940932470033,100000000,5.86612,True
01,installed-2.84,1928,15940936943621,15940937528521,100000000,5.849,True
01,installed-2.84,1929,15940942024685,15940942609377,100000000,5.84692,True
01,installed-2.84,1930,15940947081913,15940947665917,100000000,5.84004,True
01,installed-2.84,1931,15940952154785,15940952738537,100000000,5.83752,True
01,installed-2.84,1932,15940957217385,15940957801405,100000000,5.8402,True
01,installed-2.84,1933,15940962290589,15940962877133,100000000,5.86544,True
01,installed-2.84,1934,15940967348725,15940967933353,100000000,5.84628,True
01,installed-2.84,1935,15940972417745,15940973002341,100000000,5.84596,True
01,installed-2.84,1936,15940977490749,15940978074305,100000000,5.83556,True
01,installed-2.84,1937,15940982604697,15940983187885,100000000,5.83188,True
01,installed-2.84,1938,15940987682337,15940988266717,100000000,5.8438,True
01,installed-2.84,1939,15940992784549,15940993369085,100000000,5.84536,True
01,installed-2.84,1940,15940997864445,15940998449209,100000000,5.84764,True
01,installed-2.84,1941,15941002936881,15941003520293,100000000,5.83412,True
