run,variant,resolution,frame,gpu_ms
measure-1080p-r1-p1-fsr411,fsr411,1080p,0,25.773720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,1,16.086760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,2,9.564480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,3,7.526480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,4,6.684240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,5,6.658680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,6,6.695760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,7,6.834000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,8,7.165560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,9,7.136120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,10,7.111760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,11,7.147160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,12,7.110200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,13,7.131560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,14,7.156560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,15,7.160040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,16,7.133520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,17,7.204080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,18,7.165760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,19,6.658600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,20,6.709040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,21,7.144120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,22,7.142880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,23,7.133280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,24,7.135160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,25,7.132360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,26,7.088680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,27,7.110840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,28,7.144280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,29,7.134920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,30,7.139480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,31,7.181440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,32,6.651480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,33,6.651960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,34,7.154160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,35,7.158600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,36,7.123680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,37,7.100400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,38,7.171560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,39,7.080040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,40,7.132040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,41,7.122120000
